date_of_contract,municipality_name,zone_name,real_estate_type,area_in_square_meters,price_per_square_foot,real_estate_value,district_translated,latitude,longitude
2025-03-06,Doha,Al Maamoura 43,Residence,552,404.0,2400000,Al Maamoura,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 50,Vacant Land,780,322.0,2700000,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 50,Vacant Land,731,169.0,1327496,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 50,Vacant Land,755,169.0,1371080,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 50,Vacant Land,661,165.0,1174597,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 50,Vacant Land,756,165.0,1343412,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 50,Vacant Land,693,214.0,1600000,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 50,Vacant Land,756,211.0,1720000,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 50,Vacant Land,686,179.0,1319780,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Old Airport,Residence,427,457.0,2100000,Old Airport,25.277967458892473,51.52339248614074
2025-03-06,Al Rayyan,New Al Rayyan,Residence,440,259.0,1224848,New Al Rayyan,24.928100723590358,51.08167176463156
2025-03-06,Al Rayyan,Al Waab,Vacant Land,1837,900.0,17796121,Al Waab,24.928100723590358,51.08167176463156
2025-03-06,Al Daayen,Al Ebb,Vacant Land,551,430.0,2550314,Al Ebb,25.506442965229745,51.466419091145966
2025-03-06,Al Daayen,Lusail 69,Residential Unit,41,1245.23,560000,Lusail,25.506442965229745,51.466419091145966
2025-03-06,Doha,Legtaifiya,Residential Unit,76,901.16,742050,Legtaifiya,25.277967458892473,51.52339248614074
2025-03-06,Doha,Ghar Thaileb,Residential Unit,180,1030.71,2000000,Ghar Thaileb,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 50,Vacant Land,722,169.0,1311152,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 50,Vacant Land,686,217.0,1600000,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 50,Vacant Land,756,209.0,1700000,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 50,Vacant Land,650,180.0,1261572,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 50,Vacant Land,731,178.0,1398444,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 50,Vacant Land,694,179.0,1334828,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 50,Vacant Land,731,171.0,1344858,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Najma,Residence,186,624.0,1250000,Najma,25.277967458892473,51.52339248614074
2025-03-06,Al Daayen,Al Ebb,Vacant Land,551,442.0,2618933,Al Ebb,25.506442965229745,51.466419091145966
2025-03-06,Doha,The Pearl Island,Residential Unit,213,915.9,2100000,The Pearl Island,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 47,Residence,595,765.0,4900000,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 50,Vacant Land,686,169.0,1245776,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 50,Vacant Land,694,169.0,1260304,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 50,Vacant Land,780,330.0,2770724,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 50,Vacant Land,695,330.0,2468786,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 50,Vacant Land,780,179.0,1500000,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 50,Vacant Land,693,165.0,1231461,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 50,Vacant Land,747,224.0,1800000,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 50,Vacant Land,731,203.0,1600000,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 50,Vacant Land,756,236.0,1920000,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 50,Vacant Land,650,180.0,1257250,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 50,Vacant Land,650,165.0,1157250,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 50,Vacant Land,686,187.0,1378888,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Al Thumama 50,Vacant Land,755,166.0,1347105,Al Thumama,25.277967458892473,51.52339248614074
